,City_ID,Country,Lat,Lng,Hotel Name
329,Sao Joao da Barra,BR,-21.64,-41.05,Pousada Porto De Canoas
330,Champasak,LA,14.89,105.88,Khamphouy Guesthouse
331,Tasiilaq,GL,65.61,-37.64,The Red House
332,Havre-Saint-Pierre,CA,50.23,-63.6,Auberge Niapiskau
333,Wenling,CN,28.38,121.38,Hanting Express Wenling Wanchang North Road
334,Mirai,BR,-21.2,-42.61,Camapuan Palace Hotel
335,Sotouboua,TG,8.56,0.98,Hôtel La Planète
336,Nome,US,30.04,-94.42,Silver Spur Mobile Home & RV Park
337,Carsamba,TR,41.2,36.72,Carsamba Ogretmenevi
338,Buenos Aires,AR,-34.61,-58.44,Wilton Hotel
339,Flinders,AU,-34.58,150.85,Shellharbour Resort & Conference Centre
340,Tirano,IT,46.22,10.17,Hotel Corona Tirano
341,Bukama,CD,-9.2,25.85,
342,Atasu,KZ,48.68,71.64,Dostyk
343,Morwa,BW,-24.44,26.07,"Penterstar Kgabo Resort, Mochudi"
344,Volyne,CZ,49.17,13.89,Apartmány Volyně
345,Chino Valley,US,34.76,-112.45,Primrose Inn & Suites
346,Quang Ngai,VN,15.12,108.8,Central Hotel
347,Zabaykalsk,CN,49.64,117.33,Gk Imperiya
348,Sao Paulo de Olivenca,BR,-3.38,-68.87,
349,Rafai,CF,4.95,23.92,
350,Douentza,ML,15.01,-2.95,Ogomono Doumbo
351,Aitape,PG,-3.15,142.36,
352,Abilene,US,32.45,-99.73,La Quinta Inn by Wyndham Abilene
353,Pangkalanbuun,ID,-2.68,111.62,Grand Kecubung Hotel
354,Yarmouth,CA,43.84,-66.12,Comfort Inn
355,Sidi Ali,DZ,36.1,0.42,
356,Yar-Sale,RU,66.83,70.83,Yalemd
357,Zhigalovo,RU,54.81,105.15,"Hotel ""Lenatur"""
358,Ati,TD,13.21,18.34,
359,Samarai,PG,-10.62,150.67,Nuli Sapi
360,Pasighat,IN,28.06,95.33,Siang Guest House
361,Abu Samrah,SY,35.3,37.18,
362,Hearst,CA,49.69,-83.67,Companion
363,Muros,ES,42.77,-9.06,Apartment Av. Castelao
364,Strezhevoy,RU,60.73,77.6,Sibiryachka
365,Kaduqli,SD,11.01,29.72,Bean pods
366,Rosarito,CO,4.91,-75.23,Hostal Restaurante Horizol
367,Touros,BR,-5.2,-35.46,INN NEW HORIZON
368,Motril,ES,36.75,-3.52,Elba Motril Hotel Beach & Business Hotel
369,Huron,US,44.36,-98.21,Quality Inn
370,Lavrentiya,RU,65.58,-170.99,
371,Santiago,PH,16.69,121.54,GraceHill EconoSuites
372,Anastacio,BR,-20.48,-55.81,HOTEL ARARAS
373,Manadhoo,MV,5.77,73.38,seashine guest house
374,Saint-Augustin,CA,45.63,-73.98,Chez Felicia
375,Fare,PF,-16.7,-151.02,Maitai Lapita Village Huahine
376,Belmonte,PT,40.36,-7.35,Pousada Convento de Belmonte
377,Luba,PH,17.32,120.7,
378,Mehamn,NO,71.03,27.85,Mehamn Arctic Hotel AS
379,Mapiripan,CO,2.89,-72.13,Monserrate
380,Khasan,RU,42.43,130.64,Krako Motorkár
381,Kolosovka,RU,56.47,73.61,Kolosovskaya Gostinitsa
382,Ouadda,CF,8.07,22.4,
383,Invermere,CA,50.51,-116.03,Copper Point Resort
384,Filadelfia,PY,-22.35,-60.04,Hotel Florida Filadelfia
385,Mandalgovi,MN,45.76,106.27,Ганбат.В
386,Monte Azul,BR,-15.15,-42.87,Hotel Delfino
387,Vitim,RU,59.44,112.57,Gostinitsa V Apteke
388,Ngunguru,NZ,-35.62,174.5,Pacific Rendezvous Motel Resort
389,Linxia,CN,35.6,103.21,Super 8 Linxia Yiwu International Commercial Plaza
390,Batticaloa,LK,7.71,81.69,Treatooo City Hotel Batticaloa
391,Sao Joaquim,BR,-28.29,-49.93,Pousada Alternativa Cravo e Canela
392,Lixourion,GR,38.2,20.43,Summery Hotel
393,Santiago del Estero,AR,-27.8,-64.26,Hotel Urbano
394,Claresholm,CA,50.02,-113.58,Bluebird Motel
395,Bellview,US,32.78,-95.7,Foster Ranch
396,Balabac,PH,7.99,117.06,Sing and Swing Lodge
397,Kysyl-Syr,RU,63.9,122.77,
398,Pitimbu,BR,-7.47,-34.81,Reserva do Abiaí
399,Yoichi,JP,43.19,140.77,Marumatta Farm 21
400,Crotone,IT,39.09,17.12,Helios Hotel
401,La Rioja,AR,-29.41,-66.86,Hotel Libertador
402,Caetite,BR,-14.07,-42.48,Hotel Porto do Sol
403,Balakhninskiy,RU,58.01,114.28,
404,Sisimiut,GL,66.94,-53.67,Hotel Sisimiut
405,Sabinopolis,BR,-18.67,-43.08,Hotel São Joaquim
406,Green River,US,41.53,-109.47,Hampton Inn & Suites Green River
407,Asyut,EG,27.18,31.19,Florence Hotel Assiut
408,Kupang,ID,-10.16,123.6,Hotel On The Rock by Prasanthi
409,Pingliang,CN,35.54,106.68,North Gate Hostel
410,Magadi,IN,12.96,77.22,SLN GRAND INN
